,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
SalesRevenueNet,831600000.000,838300000.000,874200000.000,736500000.000,774600000.000,795900000.000,683200000.000,660900000.000,637700000.000,736700000.000,636000000.000,610500000.000,688000000.000,642000000.000,674700000.000,751500000.000,744700000.000,717200000.000,750800000.000,714700000.000,831800000.000,803500000.000,740600000.000,812800000.000,832500000.000
ShareBasedCompensation,12000000.000,,,,14300000.000,,,,12400000.000,,,,13200000.000,,,,14700000.000,,,,16000000.000,,,,14900000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,6297.000,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,103.000,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,1800000.000,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.020,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.420,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.024,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,4616.000,,,,,,,,,,,,,,,,,,,,,,,,
StockGrantedDuringPeriodValueSharebasedCompensation,12000000.000,,,,14300000.000,,,,12400000.000,,,,,,,,,,,,,,,,
StockGrantedDuringPeriodValueSharebasedCompensationGross,,,,,,,,,,,,,13200000.000,,,,,,,,,,,,14900000.000
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,,,,,,,,,,,,,2400000.000,,,,,,,,,,,,11600000.000
StockIssuedDuringPeriodValueStockOptionsExercised,3200000.000,,,,7900000.000,,,,12800000.000,,,,4500000.000,,,,,,,,,,,,10500000.000
WeightedAverageNumberOfDilutedSharesOutstanding,67062000.000,66974000.000,66667000.000,-133941000.000,66370000.000,332162000.000,332458000.000,-398671000.000,333372000.000,334073000.000,334674000.000,-667721000.000,335644000.000,335800000.000,336172000.000,-671553000.000,337416000.000,337796000.000,338139000.000,-675457000.000,338549000.000,338706000.000,339143000.000,-677432000.000,339946000.000
WeightedAverageNumberOfSharesOutstandingBasic,66857000.000,66759000.000,66458000.000,-133527000.000,66163000.000,331078000.000,331377000.000,-397366000.000,331953000.000,332341000.000,332763000.000,-664379000.000,333905000.000,334097000.000,334424000.000,-668017000.000,335680000.000,336036000.000,336323000.000,-671815000.000,337014000.000,337289000.000,337592000.000,-674399000.000,338339000.000
